"","cell","date_start","date_end","lon","lat","dpto","dstr","date_hrvs","month_floracion","cos_kgha_1","cos_kgha_2"
"1",30398,2022-03-12,2022-03-12,-79.4745353,-6.0915894,"Lambayeque","Kañariz",2016-03-15,"agosto",552,552
"2",30398,2022-03-12,2022-03-12,-79.4751673,-6.090494,"Lambayeque","Kañaris",2015-02-12,"octubre",552,828
"3",30398,2022-03-12,2022-03-12,-79.4758062,-6.0848778,"Lambayeque","Kañaris",2014-01-14,"septiembre",515.016,772.8
"4",30651,2022-03-13,2022-03-13,-79.475172,-6.103797,"Lambayeque","Salas",2019-08-04,"julio",220.8,552
"5",30398,2022-03-13,2022-03-13,-79.4779552,-6.0979908,"Lambayeque","Salas",2018-03-15,"septiembre",165.6,165.6
"6",30398,2022-03-13,2022-03-13,-79.4797403,-6.0964958,"Lambayeque","Salas",2016-03-11,"septiembre",276,386.4
"7",30651,2022-03-13,2022-03-14,-79.4693444,-6.1010123,"Lambayeque","Salas",2012-03-08,"septiembre",276,828
"8",30398,2022-03-12,2022-03-14,-79.4794412,-6.0865895,"Lambayeque","Kañaris",2018-01-10,"septiembre",441.6,331.2
"9",30398,2022-03-12,2022-03-14,-79.4799435,-6.0865345,"Lambayeque","Kañaris",2017-01-09,"septiembre",1226.544,1104
"10",30398,2022-03-12,2022-03-14,-79.4802964,-6.0876904,"Lambayeque","Kañaris",2017-01-11,"septiembre",287.04,717.6
"11",30398,2022-03-12,2022-03-12,-79.4780967,-6.0887497,"Lambayeque","Kañaris",2017-01-12,"septiembre",1104,552
"12",30398,2022-03-12,2022-03-12,-79.4779906,-6.0884808,"Lambayeque","Kañaris",2017-02-08,"septiembre",1330,276
"13",30398,2022-03-13,2022-03-13,-79.4730876,-6.0988009,"Lambayeque","Salas",2012-02-08,"septiembre",699.384,1048.8
"14",30398,2022-03-13,2022-03-13,-79.473691,-6.0978441,"Lambayeque","Salas",2014-01-16,"septiembre",1104,552
"15",30398,2022-03-13,2022-03-13,-79.4727511,-6.0971762,"Lambayeque","Salas",2010-02-04,"septiembre",956.616,717.6
"16",30398,2022-03-13,2022-03-13,-79.4723875,-6.0990251,"Lambayeque","Salas",2009-01-15,"septiembre",515.016,386.4
"17",30904,2022-03-13,2022-03-13,-79.48587,-6.1500633,"LAMBAYEQUE","SALAS",2015-01-15,"noviembre",1104,1104
"18",30904,2022-03-13,2022-03-16,-79.4945266,-6.1709156,"Lambayeque","Salas",NA,"septiembre",165.6,165.6
"19",31156,2022-03-15,2022-03-16,-79.5191317,-6.2210151,"Lambayeque","Salas",NA,"septiembre",1324.8,331.2
"20",30650,2022-03-14,2022-03-16,-79.5161168,-6.1296078,"Lambayeque","Salas",NA,"septiembre",441.6,441.6
"21",30650,2022-03-14,2022-03-16,-79.5145571,-6.130407,"Lambayeque","Salas",2022-03-14,"septiembre",552,1104
"22",30650,2022-03-14,2022-03-16,-79.5169829,-6.1293823,"Lambayeque","Salas",NA,"septiembre",331.2,331.2
"23",30904,2022-03-16,2022-03-16,-79.483975,-6.169878,"Lambayeque","Salas",NA,"octubre",220.8,165.6
"24",30904,2022-03-16,2022-03-16,-79.4863594,-6.170851,"Lambayeque","Salas",NA,"septiembre",662.4,662.4
"25",30144,2022-03-17,2022-03-17,-79.5410049,-6.0062724,"Lambayeque","Cañaris",2015-01-16,"septiembre",2628.624,1656
"26",30144,2022-03-17,2022-03-17,-79.5405314,-6.0048699,"Lambayeque","Cañaris",2015-01-15,"septiembre",1656,1656
"27",30144,2022-03-16,2022-03-16,-79.5433841,-6.0016956,"Lambayeque","Kañaris",2012-03-16,"septiembre",441.6,441.6
"28",30144,2022-03-16,2022-03-16,-79.5351902,-6.0023766,"Lambayeque","Kañaris",2017-01-18,"septiembre",717.6,717.6
"29",30144,2022-03-16,2022-03-17,-79.5333097,-6.0028035,"Lambayeque","Cañaris",2011-02-02,"septiembre",717.6,1435.2
"30",25841,2022-03-16,2022-03-17,-79.6398871,-5.1967754,"Piura","Lalaquiz",2017-01-02,"octubre",552,1656
"31",25841,2022-03-16,2022-03-17,-79.6418958,-5.193355,"Piura","Lalaquiz",2015-02-11,"octubre",1435.2,2870.4
"32",25841,2022-03-16,2022-03-17,-79.6418491,-5.19337,"Piura","Lalaquiz",1997-03-16,"octubre",3036,3036
"33",25841,2022-03-16,2022-03-16,-79.6471325,-5.1961789,"Piura","Lalaquiz",2012-01-02,"octubre",1490.4,1490.4
"34",25841,2022-03-17,2022-03-17,-79.6425408,-5.1968413,"Piura","Lalaquiz",2016-03-17,"octubre",1280.64,3201.6
"35",25841,2022-03-17,2022-03-17,-79.6431388,-5.1965138,"Piura","Lalaquiz",2012-06-01,"septiembre",761.76,69
"36",25841,2022-03-17,2022-03-17,-79.6438448,-5.1959524,"Piura","Lalaquiz",2015-03-17,"octubre",735.816,2208
"37",25841,2022-03-17,2022-03-17,-79.6439938,-5.195669,"Piura","Lalaquiz",2017-03-17,"octubre",1048.8,2097.6
"38",25841,2022-03-17,2022-03-17,-79.6449932,-5.1918715,"Piura","Lalaquiz",2018-03-17,"octubre",552,552
"39",25841,2022-03-16,2022-03-17,-79.6420577,-5.1934427,"Piura","Lalaquiz",2012-01-02,"septiembre",1490,1490
"40",30651,2022-03-15,2022-03-16,-79.4856172,-6.1493757,"LAMBAYEQUE","SALAS",2015-02-11,"septiembre",312.432,165.6
"41",30651,2022-03-16,2022-03-17,-79.4805503,-6.1480071,"LAMBAYEQUE","SALAS",2014-02-05,"octubre",2365.872,828
"42",30904,2022-03-16,2022-03-18,-79.4900265,-6.1737459,"Lambayeque","Salas",NA,"septiembre",883.2,220.8
"43",30904,2022-03-16,2022-03-18,-79.4909136,-6.1699529,"Lambayeque","Salas",NA,"septiembre",1104,828
"44",30904,2022-03-16,2022-03-18,-79.4932626,-6.1708001,"Lambayeque","Salas",NA,"septiembre",662.4,165.6
"45",30904,2022-03-18,2022-03-18,-79.4979328,-6.1726837,"Lambayeque","Salas",NA,"septiembre",441.6,441.6
"46",25841,2022-03-18,2022-03-18,-79.6376085,-5.1933168,"Piura","Lalaquiz",2010-06-01,"octubre",524.4,2097.6
"47",25841,2022-03-18,2022-03-18,-79.6374661,-5.1931454,"Piura","Lalaquiz",2012-03-18,"septiembre",2907.384,79
"48",25841,2022-03-18,2022-03-18,-79.6409095,-5.1906492,"Piura","Lalaquiz",2008-03-18,"octubre",552,1104
"49",25841,2022-03-18,2022-03-18,-79.6410789,-5.1913034,"Piura","Lalaquiz",2010-03-18,"octubre",966,70
"50",25841,2022-03-18,2022-03-18,-79.6431838,-5.1927524,"Piura","Lalaquiz",2012-03-18,"octubre",1419.192,90
"51",30904,2022-03-18,2022-03-18,-79.4954578,-6.1789651,"Lambayeque","Salas",NA,"septiembre",1104,276
"52",30904,2022-03-18,2022-03-18,-79.4956826,-6.1786746,"Lambayeque","Salas",NA,"septiembre",552,276
"53",30904,2022-03-18,2022-03-18,-79.4999313,-6.1756214,"Lambayeque","Salas",NA,"septiembre",552,276
"54",30904,2022-03-18,2022-03-18,-79.4987488,-6.1770646,"Lambayeque","Salas",NA,"septiembre",1987.2,993.6
"55",30651,2022-03-15,2022-03-17,-79.4863129,-6.1480159,"LAMBAYEQUE","SALAS",2017-01-26,"noviembre",331.2,165.6
"56",30651,2022-03-17,2022-03-17,-79.4742824,-6.146841,"LAMBAYEQUE","SALAS",2016-01-20,"noviembre",331.2,331.2
"57",30651,2022-03-17,2022-03-17,-79.4773579,-6.1483269,"LAMBAYEQUE","SALAS",2016-02-02,"noviembre",386.4,386.4
"58",30651,2022-03-18,2022-03-18,-79.4792566,-6.1378972,"LAMBAYEQUE","SALAS",2012-02-01,"octubre",515.016,386.4
"59",30651,2022-03-18,2022-03-18,-79.4800093,-6.1407453,"LAMBAYEQUE","SALAS",2015-01-23,"septiembre",552,276
"60",30651,2022-03-18,2022-03-18,-79.4793864,-6.1438906,"LAMBAYEQUE","SALAS",2012-03-02,"octubre",515.016,386.4
"61",30398,2022-03-12,2022-03-17,-79.4758522,-6.0802395,"Lambayeque","Kañaris",2016-01-04,"septiembre",1472.184,1104
"62",30398,2022-03-13,2022-03-17,-79.4738383,-6.0973668,"Lambayeque","Salas",2017-01-11,"septiembre",368.184,276
"63",30144,2022-03-17,2022-03-17,-79.5373913,-6.0037384,"Lambayeque","Kañaris",2015-05-07,"septiembre",662.4,662.4
"64",30144,2022-03-18,2022-03-18,-79.5236383,-6.0223267,"Lambayeque","Kañaris",2016-01-07,"septiembre",1380,1380
"65",30144,2022-03-18,2022-03-18,-79.5340105,-6.0170188,"Lambayeque","Kañaris",2015-03-19,"septiembre",1615.704,1656
