,Cooperativa,dpto,PROVINCIA,dstr,lon,lat,cos_kgha_1,cos_kgha_2,month_floracion,date_start,date_end,date_hrvs
1,norandino,Lambayeque,Ferreñafe,Kañariz,-79.4745353,-6.0915894,10,10,agosto,3/12/2022,3/12/2022,6/30/2022
2,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4751673,-6.090494,10,15,octubre,3/12/2022,3/12/2022,NA
3,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4758062,-6.0848778,9.33,14,septiembre,3/12/2022,3/12/2022,8/1/2022
4,norandino,Lambayeque,Lambayeque,Salas,-79.475172,-6.103797,4,10,julio,3/13/2022,3/13/2022,5/20/2022
5,norandino,Lambayeque,Lambayeque,Salas,-79.4779552,-6.0979908,3,3,septiembre,3/13/2022,3/13/2022,8/4/2022
6,norandino,Lambayeque,Lambayeque,Salas,-79.4797403,-6.0964958,5,7,septiembre,3/13/2022,3/13/2022,5/15/2022
7,norandino,Lambayeque,Lambayeque,Salas,-79.4693444,-6.1010123,5,15,septiembre,3/13/2022,3/14/2022,4/15/2022
8,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4794412,-6.0865895,8,6,septiembre,3/12/2022,3/14/2022,7/13/2020
9,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4799435,-6.0865345,22.22,20,septiembre,3/12/2022,3/14/2022,6/11/2019
10,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4802964,-6.0876904,5.2,13,septiembre,3/12/2022,3/14/2022,7/11/2019
11,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4780967,-6.0887497,20,10,septiembre,3/12/2022,3/12/2022,7/18/2019
12,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4779906,-6.0884808,24.0942029,5,septiembre,3/12/2022,3/12/2022,7/17/2020
13,norandino,Lambayeque,Lambayeque,Salas,-79.4730876,-6.0988009,12.67,19,septiembre,3/13/2022,3/13/2022,7/9/2015
14,norandino,Lambayeque,Lambayeque,Salas,-79.473691,-6.0978441,20,10,septiembre,3/13/2022,3/13/2022,7/14/2016
15,norandino,Lambayeque,Lambayeque,Salas,-79.4727511,-6.0971762,17.33,13,septiembre,3/13/2022,3/13/2022,7/19/2012
16,norandino,Lambayeque,Lambayeque,Salas,-79.4723875,-6.0990251,9.33,7,septiembre,3/13/2022,3/13/2022,7/12/2012
17,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.48587,-6.1500633,20,20,noviembre,3/13/2022,3/13/2022,8/1/2018
18,norandino,Lambayeque,Lambayeque,Salas,-79.4945266,-6.1709156,3,3,septiembre,3/13/2022,3/16/2022,7/15/2021
19,norandino,Lambayeque,Lambayeque,Salas,-79.5191317,-6.2210151,24,6,septiembre,3/15/2022,3/16/2022,6/1/2022
20,norandino,Lambayeque,Lambayeque,Salas,-79.5161168,-6.1296078,8,8,septiembre,3/14/2022,3/16/2022,6/1/2022
21,norandino,Lambayeque,Lambayeque,Salas,-79.5145571,-6.130407,10,20,septiembre,3/14/2022,3/16/2022,5/20/2022
22,norandino,Lambayeque,Lambayeque,Salas,-79.5169829,-6.1293823,6,6,septiembre,3/14/2022,3/16/2022,6/1/2022
23,norandino,Lambayeque,Lambayeque,Salas,-79.483975,-6.169878,4,3,octubre,3/16/2022,3/16/2022,6/1/2022
24,norandino,Lambayeque,Lambayeque,Salas,-79.4863594,-6.170851,12,12,septiembre,3/16/2022,3/16/2022,6/1/2022
25,norandino,Lambayeque,Ferreñafe,Cañaris,-79.5410049,-6.0062724,47.62,30,septiembre,3/17/2022,3/17/2022,7/13/2017
26,norandino,Lambayeque,Ferreñafe,Cañaris,-79.5405314,-6.0048699,30,30,septiembre,3/17/2022,3/17/2022,7/20/2017
27,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5433841,-6.0016956,8,8,septiembre,3/16/2022,3/16/2022,6/12/2014
28,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5351902,-6.0023766,13,13,septiembre,3/16/2022,3/16/2022,7/10/2020
29,norandino,Lambayeque,Ferreñafe,Cañaris,-79.5333097,-6.0028035,13,26,septiembre,3/16/2022,3/17/2022,7/11/2013
30,norandino,Piura,Huancabamba,Lalaquiz,-79.6398871,-5.1967754,10,30,octubre,3/16/2022,3/17/2022,6/1/2022
31,norandino,Piura,Huancabamba,Lalaquiz,-79.6418958,-5.193355,26,52,octubre,3/16/2022,3/17/2022,6/2/2022
32,norandino,Piura,Huancabamba,Lalaquiz,-79.6418491,-5.19337,55,55,octubre,3/16/2022,3/17/2022,6/1/2022
33,norandino,Piura,Huancabamba,Lalaquiz,-79.6471325,-5.1961789,27,27,octubre,3/16/2022,3/16/2022,6/1/2022
34,norandino,Piura,Huancabamba,Lalaquiz,-79.6425408,-5.1968413,23.2,58,octubre,3/17/2022,3/17/2022,6/1/2022
35,norandino,Piura,Huancabamba,Lalaquiz,-79.6431388,-5.1965138,13.8,1.25,septiembre,3/17/2022,3/17/2022,NA
36,norandino,Piura,Huancabamba,Lalaquiz,-79.6438448,-5.1959524,13.33,40,octubre,3/17/2022,3/17/2022,6/1/2022
37,norandino,Piura,Huancabamba,Lalaquiz,-79.6439938,-5.195669,19,38,octubre,3/17/2022,3/17/2022,6/1/2022
38,norandino,Piura,Huancabamba,Lalaquiz,-79.6449932,-5.1918715,10,10,octubre,3/17/2022,3/17/2022,6/1/2022
39,norandino,Piura,Huancabamba,Lalaquiz,-79.6420577,-5.1934427,26.99275362,26.99275362,septiembre,3/16/2022,3/17/2022,NA
40,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4856172,-6.1493757,5.66,3,septiembre,3/15/2022,3/16/2022,8/1/2019
41,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4805503,-6.1480071,42.86,15,octubre,3/16/2022,3/17/2022,7/20/2017
42,norandino,Lambayeque,Lambayeque,Salas,-79.4900265,-6.1737459,16,4,septiembre,3/16/2022,3/18/2022,7/1/2022
43,norandino,Lambayeque,Lambayeque,Salas,-79.4909136,-6.1699529,20,15,septiembre,3/16/2022,3/18/2022,6/2/2022
44,norandino,Lambayeque,Lambayeque,Salas,-79.4932626,-6.1708001,12,3,septiembre,3/16/2022,3/18/2022,6/1/2022
45,norandino,Lambayeque,Lambayeque,Salas,-79.4979328,-6.1726837,8,8,septiembre,3/18/2022,3/18/2022,NA
46,norandino,Piura,Huancabamba,Lalaquiz,-79.6376085,-5.1933168,9.5,38,octubre,3/18/2022,3/18/2022,NA
