"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"norandino","Lambayeque","Ferreñafe","Kañariz",-79.4745353,-6.0915894,10,10,"agosto",2022-03-12,2022-03-12,2022-06-30
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4751673,-6.090494,10,15,"octubre",2022-03-12,2022-03-12,NA
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4758062,-6.0848778,9.33,14,"septiembre",2022-03-12,2022-03-12,2022-08-01
"norandino","Lambayeque","Lambayeque","Salas",-79.475172,-6.103797,4,10,"julio",2022-03-13,2022-03-13,2022-05-20
"norandino","Lambayeque","Lambayeque","Salas",-79.4779552,-6.0979908,3,3,"septiembre",2022-03-13,2022-03-13,2022-08-04
"norandino","Lambayeque","Lambayeque","Salas",-79.4797403,-6.0964958,5,7,"septiembre",2022-03-13,2022-03-13,2022-05-15
"norandino","Lambayeque","Lambayeque","Salas",-79.4693444,-6.1010123,5,15,"septiembre",2022-03-13,2022-03-14,2022-04-15
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4794412,-6.0865895,8,6,"septiembre",2022-03-12,2022-03-14,2020-07-13
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4799435,-6.0865345,22.22,20,"septiembre",2022-03-12,2022-03-14,2019-06-11
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4802964,-6.0876904,5.2,13,"septiembre",2022-03-12,2022-03-14,2019-07-11
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4780967,-6.0887497,20,10,"septiembre",2022-03-12,2022-03-12,2019-07-18
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4779906,-6.0884808,24.0942028985507,5,"septiembre",2022-03-12,2022-03-12,2020-07-17
"norandino","Lambayeque","Lambayeque","Salas",-79.4730876,-6.0988009,12.67,19,"septiembre",2022-03-13,2022-03-13,2015-07-09
"norandino","Lambayeque","Lambayeque","Salas",-79.473691,-6.0978441,20,10,"septiembre",2022-03-13,2022-03-13,2016-07-14
"norandino","Lambayeque","Lambayeque","Salas",-79.4727511,-6.0971762,17.33,13,"septiembre",2022-03-13,2022-03-13,2012-07-19
"norandino","Lambayeque","Lambayeque","Salas",-79.4723875,-6.0990251,9.33,7,"septiembre",2022-03-13,2022-03-13,2012-07-12
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.48587,-6.1500633,20,20,"noviembre",2022-03-13,2022-03-13,2018-08-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4945266,-6.1709156,3,3,"septiembre",2022-03-13,2022-03-16,2021-07-15
"norandino","Lambayeque","Lambayeque","Salas",-79.5191317,-6.2210151,24,6,"septiembre",2022-03-15,2022-03-16,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.5161168,-6.1296078,8,8,"septiembre",2022-03-14,2022-03-16,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.5145571,-6.130407,10,20,"septiembre",2022-03-14,2022-03-16,2022-05-20
"norandino","Lambayeque","Lambayeque","Salas",-79.5169829,-6.1293823,6,6,"septiembre",2022-03-14,2022-03-16,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.483975,-6.169878,4,3,"octubre",2022-03-16,2022-03-16,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4863594,-6.170851,12,12,"septiembre",2022-03-16,2022-03-16,2022-06-01
"norandino","Lambayeque","Ferreñafe","Cañaris",-79.5410049,-6.0062724,47.62,30,"septiembre",2022-03-17,2022-03-17,2017-07-13
"norandino","Lambayeque","Ferreñafe","Cañaris",-79.5405314,-6.0048699,30,30,"septiembre",2022-03-17,2022-03-17,2017-07-20
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.5433841,-6.0016956,8,8,"septiembre",2022-03-16,2022-03-16,2014-06-12
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.5351902,-6.0023766,13,13,"septiembre",2022-03-16,2022-03-16,2020-07-10
"norandino","Lambayeque","Ferreñafe","Cañaris",-79.5333097,-6.0028035,13,26,"septiembre",2022-03-16,2022-03-17,2013-07-11
"norandino","Piura","Huancabamba","Lalaquiz",-79.6398871,-5.1967754,10,30,"octubre",2022-03-16,2022-03-17,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6418958,-5.193355,26,52,"octubre",2022-03-16,2022-03-17,2022-06-02
"norandino","Piura","Huancabamba","Lalaquiz",-79.6418491,-5.19337,55,55,"octubre",2022-03-16,2022-03-17,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6471325,-5.1961789,27,27,"octubre",2022-03-16,2022-03-16,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6425408,-5.1968413,23.2,58,"octubre",2022-03-17,2022-03-17,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6431388,-5.1965138,13.8,1.25,"septiembre",2022-03-17,2022-03-17,NA
"norandino","Piura","Huancabamba","Lalaquiz",-79.6438448,-5.1959524,13.33,40,"octubre",2022-03-17,2022-03-17,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6439938,-5.195669,19,38,"octubre",2022-03-17,2022-03-17,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6449932,-5.1918715,10,10,"octubre",2022-03-17,2022-03-17,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6420577,-5.1934427,26.9927536231884,26.9927536231884,"septiembre",2022-03-16,2022-03-17,NA
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4856172,-6.1493757,5.66,3,"septiembre",2022-03-15,2022-03-16,2019-08-01
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4805503,-6.1480071,42.86,15,"octubre",2022-03-16,2022-03-17,2017-07-20
"norandino","Lambayeque","Lambayeque","Salas",-79.4900265,-6.1737459,16,4,"septiembre",2022-03-16,2022-03-18,2022-07-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4909136,-6.1699529,20,15,"septiembre",2022-03-16,2022-03-18,2022-06-02
"norandino","Lambayeque","Lambayeque","Salas",-79.4932626,-6.1708001,12,3,"septiembre",2022-03-16,2022-03-18,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4979328,-6.1726837,8,8,"septiembre",2022-03-18,2022-03-18,NA
"norandino","Piura","Huancabamba","Lalaquiz",-79.6376085,-5.1933168,9.5,38,"octubre",2022-03-18,2022-03-18,NA
"norandino","Piura","Huancabamba","Lalaquiz",-79.6374661,-5.1931454,52.67,1.43115942028985,"septiembre",2022-03-18,2022-03-18,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6409095,-5.1906492,10,20,"octubre",2022-03-18,2022-03-18,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6410789,-5.1913034,17.5,1.26811594202899,"octubre",2022-03-18,2022-03-18,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6431838,-5.1927524,25.71,1.6304347826087,"octubre",2022-03-18,2022-03-18,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4954578,-6.1789651,20,5,"septiembre",2022-03-18,2022-03-18,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4956826,-6.1786746,10,5,"septiembre",2022-03-18,2022-03-18,2022-06-01
"norandino","Lambayeque","Lambayeque","Salas",-79.4999313,-6.1756214,10,5,"septiembre",2022-03-18,2022-03-18,NA
"norandino","Lambayeque","Lambayeque","Salas",-79.4987488,-6.1770646,36,18,"septiembre",2022-03-18,2022-03-18,2022-06-15
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4863129,-6.1480159,6,3,"noviembre",2022-03-15,2022-03-17,2021-07-22
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4742824,-6.146841,6,6,"noviembre",2022-03-17,2022-03-17,2020-07-29
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4773579,-6.1483269,7,7,"noviembre",2022-03-17,2022-03-17,2020-08-03
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4792566,-6.1378972,9.33,7,"octubre",2022-03-18,2022-03-18,2016-08-02
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4800093,-6.1407453,10,5,"septiembre",2022-03-18,2022-03-18,2018-08-25
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4793864,-6.1438906,9.33,7,"octubre",2022-03-18,2022-03-18,2016-07-30
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.4758522,-6.0802395,26.67,20,"septiembre",2022-03-12,2022-03-17,2018-07-16
"norandino","Lambayeque","Lambayeque","Salas",-79.4738383,-6.0973668,6.67,5,"septiembre",2022-03-13,2022-03-17,2019-07-18
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.5373913,-6.0037384,12,12,"septiembre",2022-03-17,2022-03-17,2018-07-20
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.5236383,-6.0223267,25,25,"septiembre",2022-03-18,2022-03-18,2019-07-25
"norandino","Lambayeque","Ferreñafe","Kañaris",-79.5340105,-6.0170188,29.27,30,"septiembre",2022-03-18,2022-03-18,2018-08-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.647489,-5.1989949,11.5,23,"octubre",2022-03-19,2022-03-19,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6497136,-5.1999799,10,10,"septiembre",2022-03-19,2022-03-19,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6487838,-5.2014065,7.5,15,"septiembre",2022-03-19,2022-03-19,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6473017,-5.2013996,5.5,11,"septiembre",2022-03-19,2022-03-19,2022-06-01
"norandino","Piura","Huancabamba","Lalaquiz",-79.6468229,-5.201452,20,50,"septiembre",2022-03-19,2022-03-19,2022-06-01
"pangoa","Junin","Satipo","Pangoa",-74.53896,-11.4696962,8.75,1.39492753623188,"septiembre",2022-03-18,2022-03-19,2015-04-15
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4847854,-6.1471175,10,10,"septiembre",2022-03-15,2022-03-19,2021-07-17
"norandino","LAMBAYEQUE","LAMBAYEQUE","SALAS",-79.4764437,-6.144688,4,3,"septiembre",2022-03-18,2022-03-19,2019-08-03
"norandino","Piura","Huancabamba","Lalaquiz",-79.6494811,-5.1789391,30,60,"septiembre",2022-03-21,2022-03-21,2022-07-01
